POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
1,Sai Sudharsan,417,8,8,0,82,52.13,274,152.18,0,5,42,15
2,Nicholas Pooran,368,8,8,1,87*,52.57,179,205.58,0,4,30,31
3,Jos Buttler,356,8,8,3,97*,71.2,215,165.58,0,3,40,13
4,Surya Kumar Yadav,333,8,8,2,68*,55.5,205,162.43,0,2,33,17
5,Virat Kohli,322,8,8,3,73*,64.4,230,140,0,4,27,11
6,Yashasvi Jaiswal,307,8,8,0,75,38.38,220,139.54,0,4,25,17
7,Shubman Gill,305,8,8,1,90,43.57,199,153.26,0,3,33,9
8,Mitchell Marsh,299,7,7,0,81,42.71,178,167.97,0,4,30,17
9,Aiden Markram,274,8,8,0,66,34.25,183,149.72,0,3,26,12
10,Ajinkya Rahane,271,8,8,1,61,38.71,185,146.48,0,3,24,15
11,K L Rahul,266,6,6,1,93*,53.2,168,158.33,0,2,22,13
12,Shreyas Iyer,263,8,8,2,97*,43.83,142,185.21,0,3,17,20
13,Priyansh Arya,254,8,8,0,103,31.75,126,201.58,1,0,24,18
14,Travis Head,242,7,7,0,67,34.57,144,168.05,0,2,33,9
15,Abhishek Sharma,232,7,7,0,141,33.14,123,188.61,1,0,31,10
16,N Tilak Varma,231,8,6,1,59,46.2,163,141.71,0,2,19,10
17,Shivam Dube,230,8,8,2,50,38.33,172,133.72,0,1,15,13
18,Sanju Samson,224,7,7,1,66,37.33,156,143.58,0,1,23,10
19,Rajat Patidar,221,8,7,0,64,31.57,146,151.36,0,2,19,10
20,Phil Salt,213,8,8,0,65,26.63,119,178.99,0,2,26,13
21,Riyan Parag,212,8,8,1,43*,30.29,143,148.25,0,0,14,14
22,Heinrich Klaasen,210,7,7,1,37,35,132,159.09,0,0,18,10
23,Prabhsimran Singh,209,8,8,0,69,26.13,124,168.54,0,1,28,8
24,Ryan Rickelton,204,8,8,1,62*,29.14,139,146.76,0,1,27,8
25,Sherfane Rutherford,201,8,7,2,46,40.2,129,155.81,0,0,15,13
26,Angkrish Raghuvanshi,197,7,7,2,50,39.4,132,149.24,0,1,21,6
27,Dhruv Jurel,191,8,8,3,70,38.2,124,154.03,0,1,14,11
28,Rachin Ravindra,191,8,8,1,65*,27.29,149,128.18,0,1,18,4
29,Nehal Wadhera,189,7,7,2,62,37.8,129,146.51,0,1,14,12
30,Tristan Stubbs,183,7,7,4,38*,61,114,160.52,0,0,14,8
31,Ayush Badoni,181,8,7,1,50,30.17,134,135.07,0,1,14,7
32,Devdutt Padikkal,180,7,7,1,61,30,120,150,0,1,16,10
33,Nitish Rana,176,8,8,1,81,25.14,99,177.77,0,2,21,8
34,Shimron Hetmyer,176,8,8,1,52,25.14,115,153.04,0,1,13,9
35,Abishek Porel,174,7,7,1,49,29,118,147.45,0,0,18,6
36,Aniket Verma,159,7,6,1,74,31.8,85,187.05,0,1,8,14
37,Rohit Sharma,158,7,7,1,76*,26.33,102,154.9,0,1,10,12
38,Shashank Singh,158,8,7,4,52*,52.67,123,128.45,0,1,10,6
39,Sunil Narine,147,7,7,0,44,21,83,177.1,0,0,14,12
40,Ravindra Jadeja,145,8,8,3,53*,29,115,126.08,0,1,9,5
41,Quinton De Kock,143,7,7,1,97*,23.83,104,137.5,0,1,9,11
42,Tim David,142,8,5,4,50*,142,73,194.52,0,1,11,12
43,Axar Patel,140,7,6,0,39,23.33,88,159.09,0,0,14,6
44,Ishan Kishan,138,7,7,2,106*,27.6,81,170.37,1,0,14,6
45,Ashutosh Sharma,136,6,5,2,66*,45.33,76,178.94,0,1,11,8
46,Venkatesh Iyer,135,8,6,0,60,22.5,97,139.17,0,1,14,4
47,MS Dhoni,134,8,8,4,30*,33.5,88,152.27,0,0,10,8
48,Rinku Singh,133,8,7,3,38*,33.25,91,146.15,0,0,14,6
49,Nitish Kumar Reddy,131,7,6,0,32,21.83,115,113.91,0,0,12,2
50,Naman Dhir,130,8,6,2,46,32.5,73,178.08,0,0,12,6
51,Ruturaj Gaikwad,122,5,5,0,63,24.4,81,150.61,0,2,14,4
52,Karun Nair,120,3,3,0,89,40,61,196.72,0,1,14,7
53,Vijay Shankar,118,6,5,2,69*,39.33,91,129.67,0,1,8,3
54,Abdul Samad,111,7,7,3,30*,27.75,50,222,0,0,6,10
55,Rishabh Pant,106,8,7,0,63,15.14,108,98.14,0,1,8,5
56,Hardik Pandya,104,7,5,1,42,26,61,170.49,0,0,9,6
57,David Miller,104,8,8,5,27*,34.67,81,128.39,0,0,9,3
58,Jitesh Sharma,101,8,6,2,40*,25.25,72,140.27,0,0,8,7
59,Devon Conway,94,3,3,0,69,31.33,74,127.02,0,1,9,2
60,Will Jacks,91,7,6,1,36,18.2,76,119.73,0,0,7,4
61,Liam Livingstone,87,7,6,1,54,17.4,68,127.94,0,1,4,7
62,Faf Du Plessis,81,3,3,0,50,27,52,155.76,0,1,6,5
63,Shahrukh Khan,73,8,5,3,36,36.5,39,187.17,0,0,4,6
64,Marco Jansen,68,8,5,3,34*,34,52,130.76,0,0,2,4
65,Marcus Stoinis,67,7,6,2,34*,16.75,44,152.27,0,0,2,7
66,Pat Cummins,64,7,6,3,22*,21.33,40,160,0,0,5,5
